"""","和歌山下津港_入港船舶数_　　　    総  数_隻  数(隻)","和歌山下津港_入港船舶数_　　　    総  数_総トン数(千ﾄﾝ)","和歌山下津港_入港船舶数_　　  　  外  航_隻  数(隻)","和歌山下津港_入港船舶数_　　  　  外  航_総トン数(千ﾄﾝ)","和歌山下津港_入港船舶数_　　　    内  航_隻  数(隻)","和歌山下津港_入港船舶数_　　　    内  航_総トン数(千ﾄﾝ)"
"平成21年(2009年)","12866.0","38595.0","1030.0","23996.0","11836.0","14599.0"
"平成22年(2010年)","14220.0","42114.0","1125.0","26427.0","13095.0","15687.0"
"","","","","","",""
"平成23年(2011年)","14106.0","42870.179","1250.0","27204.278","12856.0","15665.901"
"平成24年(2012年)","13456.0","45752.0","1211.0","29301.0","12245.0","16451.0"
"平成25年(2013年)","13029.0","45779.0","1122.0","29472.0","11907.0","16307.0"
"","","","","","",""
"  客　船","0.0","0.0","0.0","0.0","0.0","0.0"
"  一般貨物船","2771.0","1770.0","62.0","415.0","2709.0","1355.0"
"  油送船","5272.0","18115.0","403.0","12416.0","4869.0","5699.0"
"  その他の専用船","1886.0","18631.0","657.0","16641.0","1229.0","1990.0"
"","","","","","",""
"  自動車航送船","2745.0","7170.0","0.0","0.0","2745.0","7170.0"
"  その他","355.0","93.0","0.0","0.0","355.0","93.0"
"  漁  船","0.0","0.0","0.0","0.0","0.0","0.0"
"  避難船","0.0","0.0","0.0","0.0","0.0","0.0"
